SUBJECT_ID,GROUP,TASK1_ACCURACY,TASK2_ACCURACY,TASK1_RESPONSE_TIME,TASK2_RESPONSE_TIME,TASK1_OVERLAP,TASK2_OVERLAP,TASK1_ALIGNMENT,TASK2_ALIGNMENT,TASK1_READOUT,TASK2_READOUT,TASK1_RESPONSE_BIAS,TASK2_RESPONSE_BIAS,TASK1_PREDICTED_ACCURACY,TASK2_PREDICTED_ACCURACY,Gender,Age,Training_Year,Height,Weight,CROSS_OVERLAP,CROSS_ALIGNMENT
101,1,0.871794872,0.537815126,1243.470085,1655.840336,0.940607905,0.702189147,0.888572276,0.301550627,0.892071429,0.622666667,0.572649573,0.630252101,0.7865,0.585347826,2,19,12,172,65,0.680026472,0.138459489
102,1,0.865546218,0.6,1437.151261,1757.716667,0.935465753,0.745644152,0.92014724,0.558792055,0.816057971,0.587166667,0.504201681,0.416666667,0.720702899,0.563166667,1,22,15,178,85,0.73480159,0.495403886
103,1,0.705882353,0.508333333,1707.87395,1513.558333,0.843525231,0.714720607,0.801585972,-0.155732691,0.654826087,0.453666667,0.470588235,0.475,0.616289855,0.458333333,2,18,11,168,53,0.735861719,-0.270745605
104,1,0.854700855,0.575,1374.076923,1586.191667,0.979021549,0.66951406,0.964625239,0.377326369,0.911,0.6345,0.358974359,0.341666667,0.807857143,0.600166667,1,19,13,175,70,0.61025399,0.290779412
105,1,0.847457627,0.533898305,1437.355932,1538.5,0.962262571,0.770075321,0.944460332,0.185696915,0.824984848,0.55119697,0.406779661,0.415254237,0.739924242,0.532333333,1,19,6,173,65,0.67684561,0.063804194
106,1,0.779661017,0.533333333,1092.398305,927.1833333,0.889129102,0.560798883,0.859902143,0.132711262,0.759090909,0.589333333,0.423728814,0.4,0.693106061,0.569,2,18,10,171,62,0.636510968,-0.142707288
107,1,0.771186441,0.504201681,1041.949153,970.0084034,0.89624244,0.703591824,0.878318667,0.304410845,0.726606061,0.697992754,0.508474576,0.285714286,0.662212121,0.642442029,2,18,10,169,63,0.619116783,0.050650552
108,1,0.784482759,0.559322034,1519.25,1731.118644,0.879763424,0.627162516,0.822652996,0.392537862,0.782466667,0.55319697,0.577586207,0.406779661,0.7042,0.539424242,1,19,15,183,80,0.623363614,0.30822739
109,1,0.87394958,0.709401709,1497.831933,1742.34188,0.967205107,0.840939045,0.935325623,0.776069522,0.865615942,0.735428571,0.470588235,0.427350427,0.767144928,0.673285714,2,21,15,157,50,0.917496383,0.839733064
110,1,0.924369748,0.586206897,1747.159664,1930.508621,0.96208185,0.70783931,0.957336545,0.503419697,0.90634058,0.522133333,0.579831933,0.482758621,0.795652174,0.504833333,1,19,13,178,62,0.590527833,0.49961108
111,1,0.905982906,0.596638655,1370.188034,1566.848739,0.968403041,0.782097876,0.945482016,0.386339694,0.869690476,0.575673913,0.521367521,0.495798319,0.7775,0.559782609,1,18,10,176,71,0.762040138,0.253194034
112,1,0.870689655,0.5,1540.637931,1960.05,0.957026899,0.575508893,0.948906481,0.038089208,0.861866667,0.5555,0.405172414,0.433333333,0.763266667,0.538166667,1,20,7,177,72,0.580760062,0.05225908
113,1,0.605042017,0.5,1260.235294,1066.511111,0.843876302,0.692099512,0.58362174,-0.097627625,0.601188406,0.746111111,0.478991597,0.233333333,0.576717391,0.675347222,1,19,5,185,65,0.768571913,-0.250573069
114,1,0.890756303,0.581196581,1329.731092,1449.119658,0.968400896,0.730008364,0.950639546,0.484564364,0.858384058,0.503666667,0.554621849,0.452991453,0.764282609,0.493571429,2,19,12,176,65,0.727315605,0.497732103
115,1,0.905172414,0.594827586,1306.224138,1298.62931,0.967501402,0.67552501,0.962335408,0.459768832,0.850466667,0.584533333,0.525862069,0.49137931,0.756466667,0.560066667,2,24,15,172,65,0.720010519,0.526840687
116,1,0.930434783,0.504201681,1402.626087,1393.168067,0.970199645,0.688818932,0.969314516,0.184116855,0.900236842,0.668253623,0.547826087,0.697478992,0.796114035,0.623557971,1,18,11,173,65,0.592033327,0.18508853
118,1,0.625,0.508333333,1112.733333,1099.55,0.771890223,0.628786087,0.527294934,0.098890327,0.573833333,0.462,0.525,0.525,0.549166667,0.476666667,2,19,13,160,55,0.650173724,0.158218563
119,1,0.94017094,0.542372881,1502.65812,1631.161017,0.95981729,0.658891916,0.95341599,0.134953678,0.893666667,0.594939394,0.52991453,0.36440678,0.787761905,0.57169697,1,23,10,176,77,0.727436185,0.196049273
208,2,0.663865546,0.534482759,1591.731092,1698.887931,0.821882069,0.368196487,0.611156523,0.132642463,0.708224638,0.6282,0.630252101,0.568965517,0.651362319,0.596633333,2,23,0,170,60,0.502130985,0.331790626
209,2,0.508333333,0.521008403,1124.525,1199.647059,0.515559971,0.655674517,0.099704646,0.013789028,0.685166667,0.752014493,0.291666667,0.243697479,0.639166667,0.689688406,2,20,0,160,60,0.55791086,-0.151265442
210,2,0.655462185,0.542372881,1730,1677.661017,0.876545429,0.472490549,0.836431384,-0.084027082,0.730471014,0.61880303,0.235294118,0.381355932,0.668072464,0.571,2,18,0,172,60,0.673176408,0.284828514
211,2,0.708333333,0.601694915,1533.333333,1684.288136,0.870681703,0.670012176,0.711520255,0.221707702,0.7045,0.552742424,0.408333333,0.43220339,0.6515,0.537621212,2,18,0,158,43,0.649239719,0.266273201
212,2,0.773109244,0.435897436,1718.260504,1860.521368,0.874180555,0.509907782,0.837041616,-0.263603777,0.787644928,0.609904762,0.596638655,0.418803419,0.711623188,0.590095238,2,20,0,165,66,0.383119076,-0.169875473
213,2,0.538461538,0.615384615,1507.119658,1641.940171,0.717727184,0.680474997,0.323091298,0.571770132,0.506238095,0.515880952,0.418803419,0.504273504,0.503785714,0.512666667,2,20,0,158,45,0.616755426,0.492179662
214,2,0.475,0.478632479,1340.9,1426.358974,0.502082467,0.647019565,-0.250781357,-0.25608781,0.491666667,0.542666667,0.458333333,0.521367521,0.496333333,0.528857143,1,20,0,178,68,0.552657485,-0.241584525
215,2,0.773109244,0.529411765,1954.134454,1865.260504,0.87009573,0.472162753,0.838526011,0.053155724,0.71907971,0.606971014,0.478991597,0.420168067,0.660028986,0.572934783,2,18,0,175,87,0.500127256,-0.012772738
216,2,0.686440678,0.571428571,1797.79661,2233.453782,0.780808985,0.713148355,0.72327143,0.549477458,0.655151515,0.475971014,0.457627119,0.529411765,0.611606061,0.483702899,1,20,0,172,65,0.508886039,0.370162487
217,2,0.714285714,0.491525424,1603.453782,1429.279661,0.847809494,0.671625555,0.801791847,0.01896245,0.714376812,0.427893939,0.537815126,0.483050847,0.650797101,0.435666667,1,19,0,189,90,0.636626005,-0.15817073
218,2,0.605042017,0.418803419,1467.680672,1372.307692,0.818083465,0.601506114,0.77470392,-0.333622843,0.579181159,0.53702381,0.554621849,0.606837607,0.555644928,0.523190476,1,20,0,177,62,0.610920072,-0.241311669
219,2,0.453781513,0.512605042,1027.722689,968.8151261,0.602227747,0.495066047,-0.2453399,0.042919923,0.495275362,0.532123188,0.56302521,0.579831933,0.499086957,0.526681159,1,21,0,182,72,0.642296791,0.070942551
220,2,0.64957265,0.452991453,1668.34188,1370.948718,0.768851042,0.657544494,0.690058827,-0.213939831,0.618238095,0.680190476,0.478632479,0.299145299,0.583666667,0.63202381,1,20,0,176,65,0.623500228,-0.061941441
222,2,0.709401709,0.513274336,1510.487179,1560.654867,0.827846706,0.668576837,0.752837479,0.146903217,0.684285714,0.531156863,0.427350427,0.495575221,0.64752381,0.527941176,1,21,0,178,72,0.698862493,0.18198058
223,2,0.789915966,0.516949153,1418.218487,1550.711864,0.865716219,0.454887509,0.852679968,0.111511439,0.770536232,0.540272727,0.529411765,0.381355932,0.691949275,0.530712121,1,19,0,185,85,0.482049584,0.099146917
224,2,0.726495726,0.495726496,1869.128205,1957.905983,0.869416356,0.692280352,0.861099601,-0.009641854,0.707190476,0.525809524,0.581196581,0.547008547,0.65297619,0.513619048,1,18,0,170,70,0.644348025,-0.02823111
225,2,0.473214286,0.50877193,2280.4375,1606.578947,0.851803303,0.535957694,-0.162658736,0.019098509,0.509166667,0.547444444,0.589285714,0.473684211,0.507833333,0.534,1,20,0,175,66,0.575142622,-0.278279424
226,2,0.652173913,0.471698113,1991.069565,2896.009434,0.84216398,0.569634736,0.736084759,-0.137993276,0.643745614,0.412966667,0.417391304,0.537735849,0.602815789,0.429466667,2,20,0,163,52,0.726733565,0.146567956